datafile,sampname,variety,type,flavor,flowers,dry wt,Acetic acid butyl ester,Sabinene,β-Pinene,β-Myrcene,4-hexen-1-ol acetate,Eucalyptol,β-Ocimene,Benzeneacetaldehyde,ɣ-Terpinene,cis-Linalool oxide,trans-Linalool oxide,Linalool,"(E)-4,8-Dimethylnona-1,3,7-triene",Camphor,ɑ-Terpineol,Estragole,Fenchyl acetate,cis-Geraniol,trans-Geraniol,Cuminal,Citral,Bornyl acetate,"1,5,5-Trimethyl-6-methylene-cyclohexene","Unknown 43, 69, 55",ɑ-Cubebene,Eugenol,ɑ-Ylangene,Methyl cinnamate,Longicyclene,Methyleugenol,β-Elemene,Isolongifolene,cis-Bergamotene,"Unknown 95, 161, 107",Aromadendrene,Longifolene,β-Ylangene,β-Caryophyllene,ɑ-Bergamotene,β-Copaene,ɑ-Guaiene,Calarene,δ-Muurolene,ɑ-Muurolene,Humulene,(+)-epi-Bicyclosesquiphellandrene,ɣ-Muurolene,Germacrene D,Lavandulyl propionate,Valencene,"Unknown 43, 81, 105",ɑ-Amorphene,Aciphyllene,δ-Guaiene,ɣ-Cadinene,δ-Cadinene,"1,4-Cadinadiene",ɑ-Cadinene," [S-(Z)]- 3,7,11-trimethyl-1,6,10-Dodecatrien-3-ol","(3E,7E)-4,8,12-Trimethyltrideca-1,3,7,11-tetraene",Benzenecycloheptene,β-Elemenone,"Unknown 71, 43, 79",Spathulenol,"Unknown 109, 81, 43",Thymyl tiglate,Epicubenol,Methyl jasmonate,tau-Cadinol,"Unknown 161, 204, 105","Unknown 43, 105, 204",2-(1-phenylethyl)-Phenol,"Unknown 43, 55, 93","Unknown 43, 95, 41","2,6,10,14-Tetramethyl-7-(3-methylpent-4-enylidene) pentadecane","Unknown 161, 204, 43","Unknown 161, 43, 205"
basil0622_73.D,73gdc21t2,grk dwarf,flower,pungent,17,0.1886,0,52.14698917,149.8434114,408.2468024,0,1360.214053,0,298.6039133,0,0,0,23447.83983,0,376.0652334,216.1252764,0,72.49037094,0,0,346.2871697,0,3409.633121,114.0554053,0,224.4537069,3512.531755,0,0,62.97393214,12.16357912,4676.858597,0,0,0,0,0,1451.844119,186.858749,112.6250445,517.9968304,1654.145646,0,1825.322229,0,1155.952825,250.3529336,0,1690.708413,12.10975464,0,166.7933102,0,360.0599811,2048.885234,1233.140887,122.0613189,21.55150472,65.10399921,0,18.35031137,0,0,0,0,0,0,144.8491824,31.76202861,994.3429472,0,124.1165734,0,127.2541068,0,14.77659657,0,0
basil0622_24.D,24lec2t1,lemon,leaf,citrus,5,0.0806,0,0,158.822507,905.8152807,430.6213318,219.8972216,857.1815715,0,0,0,0,4251.27178,0,0,368.6326245,99.59918243,36.94245518,397.7769608,0,0,6210.222075,0,0,9.93123663,515.2133768,0,0,27.23162318,0,0,97.76217807,0,95.95738534,0,0,0,610.8565789,2124.286684,2644.4882,356.7561924,0,0,618.1493682,0,260.8847127,17.03417969,0,516.0562581,0,81.17631043,100.1919637,188.0354623,847.8133477,0,0,262.4399339,872.277176,0,0,0,0,0,0,118.2483615,0,0,0,0,0,0,598.4229598,0,0,0,0,0,0
basil0622_25.D,25lec82t1,lemon,flower,citrus,21,0.1849,0,0,99.88288883,1753.19171,410.2307215,112.2480601,1590.678123,0,166.8314417,0,0,14854.99328,199.0982174,19.47230147,893.5286445,0,46.45583769,4228.581437,1395.656531,280.2044863,9491.609031,0,0,0,101.8953953,0,184.9317557,46.35144516,42.50660651,0.50431868,669.0912481,0,269.1027858,0,0,0,3679.556182,10931.42923,8085.602103,1714.832573,0,0,3113.1135,0,1314.479319,105.4519922,233.1190794,3522.083457,228.3233686,0,0,693.1316945,2621.242962,184.1825263,140.4745657,963.1238078,2784.557168,0,0,0,0,106.3250219,0,94.26418689,0,16.83306265,0,0,0,0,262.6241324,0,0,0,0,17.00319355,88.14497512
basil0622_31.D,31lic135t1,lemon,flower,citrus,12,0.1902,0,0,0,406.8644376,44.59025419,0,199.6934065,0,0,0,58.36838486,0,0,0,35.57653685,0,0,1151.47958,286.868443,176.5981153,912.0836222,0,0,3.83119937,163.7770789,0,29.54140726,10.99867253,0,0,378.1582117,141.3744939,0,0,0,0,1131.124735,3764.979955,2232.797242,515.2589062,0,18.62976149,1131.504188,46.15198347,345.5178307,47.8871914,104.4378481,2367.302559,23.58644126,0,0,170.2234453,0,43.89796695,118.9374962,346.2194151,919.929677,0,0,0,0,24.23791449,0,66.83803732,0,0,19.29615248,0,128.8798595,0,599.5529699,0,0,0,0,0,0
basil0622_43.D,43lec13t1,lemon,flower,citrus,5,0.0902,0,130.253606,440.294764,8560.260183,2631.520998,764.4656491,7183.800137,0,0,485.9433759,0,95796.92799,3204.452165,319.7627099,4628.670884,0,343.3692092,36295.3876,13371.52936,1749.85069,36843.57383,0,0,0,1278.550812,0,354.8374084,272.590119,219.8249796,0,3191.013401,0,0,0,0,0,28979.47905,73933.48182,51544.35648,11724.35633,0,0,22854.64394,0,9800.291028,688.2744975,691.437759,22463.58851,1231.435331,0,0,0,15148.66844,1008.490114,762.3964925,4394.81566,18052.35441,0,0,0,0,1034.649545,0,685.7959276,0,61.81782795,0,638.8505197,0,0,1127.48236,8.38608417,0,0,133.7291987,430.3079324,1241.008281
basil0622_05.D,5ltc53t1,lettuce,flower,swt bas,15,0.3454,0,30.4163264,81.8946526,212.7331792,0,980.1636803,74.59746595,230.6754061,96.84170311,98.47209915,0,6598.927531,0,273.3447545,39.1686716,3.48601082,27.30970159,0,0,170.4690504,0,44.23114311,5.85389676,15.4606798,18.16861535,158.3127059,13.96769324,4.96138093,12.19530946,0.64885748,699.7074772,0,127.706271,0,0,0,286.5322301,0,4341.611537,0,418.3287584,98.28009878,409.7282012,0,83.76692524,31.11384094,0,154.1332278,133.3039634,55.57767699,50.7958612,42.02448127,449.9469786,291.3431557,369.3566356,74.04749768,22.32387849,17.33884932,0,0,11.72284005,99.67493844,0,0,0,0,17.51634318,0,117.0361382,0,51.18128709,0,50.87539494,0,4.62073383,13.39667087,37.46447614
basil0622_07.D,7lic92t1,lettuce,leaf,swt bas,1,0.0869,0,699.0144861,2191.801794,2781.739361,237.9142705,18840.64266,0,3671.56571,0,0,253.2384311,30158.48465,0,974.3514434,1424.233671,6232.260767,0,0,0,3898.952568,0,6877.676743,253.3426834,47.92365764,0,20126.15551,184.3420867,0,3543.396836,5797.176886,2033.740844,7431.302412,0,12636.81386,2088.035647,11769.56993,455.9206776,0,10986.5947,0,2243.472295,2392.461342,3156.283051,0,1391.519668,505.3846994,0,1271.395005,0,0,0,0,932.5644341,247.8047977,2715.370438,0,0,0,0,0,0,0,0,0,0,288.6942611,665.3905431,0,6039.228719,277.90989,6495.471929,5998.693545,0,0,0,0,0
basil0622_08.D,8ltc23t1,lettuce,flower,swt bas,14,0.3885,783.1775708,16.58686232,49.10667116,160.7398351,0,461.9205789,0,353.2771776,52.47104299,96.8189505,0,4958.527793,132.232337,0,23.97784889,2571.329515,0,0,0,144.9588046,0,0,3.3400347,14.54989218,19.54108123,167.6884263,0,2.77911731,0,3.05907642,235.8904524,0,0,0,0,0,85.40440891,0,2442.672513,0,153.2703015,0,226.3975286,9.20688163,0,34.05658309,0,237.4740656,95.6262367,37.99337931,41.37853014,0,142.3625428,53.82478855,283.2428797,60.78533308,11.24815208,17.606611,0,0,29.27999933,17.13564279,0,0,0,0,31.91675899,0,314.730925,17.55878676,72.27346833,2.22329018,40.24731391,0,9.53306826,0,0
basil0622_15.D,15ltc51t1,lettuce,leaf,swt bas,1,0.0915,0,0,0,0,0,0,0,35680.97308,0,0,0,0,0,0,0,325.8779462,1317.299344,0,0,22482.98777,0,0,0,947.1059702,0,0,0,334.6702216,0,0,0,0,0,796.8800229,0,1331.614408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884.9428448,0,0,0,1664.036823,174.474996,0,0,0,0,0,1457.124919,0,0,0,0,0
basil0622_33.D,33lic52t2,lettuce,flower,swt bas,10,0.2562,74.33448163,24.24304041,61.47438178,124.4368493,0,737.8568475,0,125.958179,70.61515776,134.4643811,0,8416.074435,0,0,35.16810503,2.56661789,24.10156415,0,0,163.520392,0,0,30.16182022,2.28914891,28.42189099,391.9082681,0,6.54585163,20.77914139,0,863.2543026,45.59884862,0,69.87189692,0,56.85694019,264.4331334,0,4421.090029,0,297.1908772,0,471.5104034,0,0,66.05523256,5.3833007,900.2000597,15.96201203,0,42.19078747,66.97667038,285.1308181,363.174764,343.6367455,504.9312591,7.70130916,15.07169381,70.15426288,1.63398416,0.75077993,13.78426839,6.46023488,0,0,9.78826661,33.5457622,0,244.8969236,0,116.736078,61.97905948,0,0,0,0,0
