variety,Sabinene floral,β-Pinene floral,β-Myrcene floral,4-hexen-1-ol acetate floral,Eucalyptol floral,(Z)-β-Ocimene floral,ɣ-Terpinene floral,(Z)-linalool oxide floral,trans-Linalool oxide floral,Linalool floral,"(E)-4,8-Dimethylnona-1,3,7-triene floral",Camphor floral,ɑ-Terpineol floral,Estragole floral,Fenchyl acetate floral,(E)-geraniol floral,(Z)-geraniol floral,Citral floral,Bornyl acetate floral,"1,5,5-Trimethyl-6-methylene-cyclohexene floral","Unknown 97, 111, 70, 71 floral",ɑ-Cubebene floral,Eugenol floral,ɑ-Ylangene floral,Methyl cinnamate floral,Longicyclene floral,Methyl eugenol floral,Isolongifolene floral,(Z)-ɑ-Bergamotene floral,"Unknown 95, 161, 107, 93 floral",Aromadendrene floral,Longifolene floral,β-Caryophyllene floral,(E)-ɑ-Bergamotene floral,β-Copaene floral,ɑ-Guaiene floral,Calarene floral,δ-Muurolene floral,ɑ-Muurolene floral,Humulene floral,epi-Bicyclosesquiphellandrene floral,ɣ-Muurolene floral,Germacrene D floral,Lavandulyl propionate floral,Valencene floral,"Unknown 81, 105, 119, 161 floral",ɑ-Amorphene floral,Aciphyllene floral,δ-Guaiene floral,ɣ-Cadinene floral,δ-Cadinene floral,"1,4-Cadinadiene floral",ɑ-Cadinene floral,"[S-(Z)]- 3,7,11-trimethyl-1,6,10-Dodecatrien-3-ol floral","(3E,7E)-4,8,12-Trimethyltrideca-1,3,7,11-tetraene floral",β-Elemenone floral,"Unknown 109, 81, 93, 95 floral",Spathulenol floral,Thymyl tiglate floral,Epicubenol floral,Methyl jasmonate floral,"Unknown 161, 204, 105, 162 floral","Unknown 105, 204, 71, 81 floral",2-(1-phenylethyl)-Phenol floral,"Unknown 93, 107, 81, 91 floral","Unknown 95, 97, 81, 110 floral","Unknown 161, 204, 91, 105 floral","Unknown 161, 204, 95, 81 floral",Sabinene,β-Pinene,β-Myrcene,4-hexen-1-ol acetate,Eucalyptol,(Z)-β-Ocimene,ɣ-Terpinene,(Z)-linalool oxide,trans-Linalool oxide,Linalool,"(E)-4,8-Dimethylnona-1,3,7-triene",Camphor,ɑ-Terpineol,Estragole,Fenchyl acetate,(E)-geraniol,(Z)-geraniol,Citral,Bornyl acetate,"1,5,5-Trimethyl-6-methylene-cyclohexene","Unknown 97, 111, 70, 71",ɑ-Cubebene,Eugenol,ɑ-Ylangene,Methyl cinnamate,Longicyclene,Methyl eugenol,Isolongifolene,(Z)-ɑ-Bergamotene,"Unknown 95, 161, 107, 93",Aromadendrene,Longifolene,β-Caryophyllene,(E)-ɑ-Bergamotene,β-Copaene,ɑ-Guaiene,Calarene,δ-Muurolene,ɑ-Muurolene,Humulene,epi-Bicyclosesquiphellandrene,ɣ-Muurolene,Germacrene D,Lavandulyl propionate,Valencene,"Unknown 81, 105, 119, 161",ɑ-Amorphene,Aciphyllene,δ-Guaiene,ɣ-Cadinene,δ-Cadinene,"1,4-Cadinadiene",ɑ-Cadinene,"[S-(Z)]- 3,7,11-trimethyl-1,6,10-Dodecatrien-3-ol","(3E,7E)-4,8,12-Trimethyltrideca-1,3,7,11-tetraene",β-Elemenone,"Unknown 109, 81, 93, 95",Spathulenol,Thymyl tiglate,Epicubenol,Methyl jasmonate,"Unknown 161, 204, 105, 162","Unknown 105, 204, 71, 81",2-(1-phenylethyl)-Phenol,"Unknown 93, 107, 81, 91","Unknown 95, 97, 81, 110","Unknown 161, 204, 91, 105","Unknown 161, 204, 95, 81"
Aroma 2,25.96568544,66.40766273333332,480.8141372666667,0,1544.3830026,1804.375245,59.51460516666667,0,0,28732.506346666665,0,322.90540290666667,195.57038248666666,0,0,0,6.359708236666666,0,1973.2678922666666,249.22700390666665,30.93704448333333,299.56293186666664,1948.5741403999998,31.772018096666667,13.247451516666667,84.46526057666667,6108.639488666667,0,0,0,0,0,2478.9676028666668,141.53116219999998,827.2369777666667,2027.5049929666666,0,2903.4714556666668,0,695.9391409333333,209.92203838666669,0,1695.2904097,185.0145858,33.822194999999994,125.88746353333335,0,461.9697625333334,2687.0359244666665,908.3128119666667,155.00500995000002,11.062095033333332,18.109181953333334,27.471596083333335,0,0,39.89273526666666,0,0,878.51302466,0,0,214.66390873333333,6.193465813333333,166.47806306666666,0,47.05248007,129.60423987333334,0,0,0,0,3055.983096,0,0,0,0,3092.611317,0,0,0,326.325828,0,0,0,0,0,0,1381.853516,0,0,758.1872524,0,8566.014818,0,16992.54793,0,33085.091590000004,7381.979056,29638.22244,0,0,0,2010.348867,0,0,0,0,0,0,0,11267.81983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9294.470802,0,0,0,17414.24356,13580.65434,0,0,0,0
Cinnamon,7.191782483333332,16.182448843333333,63.889672133333335,0,402.90381460000003,1599.9665743666667,50.2812238,104.40435376666667,0,29765.827333,26.091812806666667,26.88059175,55.87396376666666,4821.7717685,0,0,0,0,39.206742133333336,318.3874880266667,47.55891484,0,2.9449880566666664,0,21749.801743666667,59.85346516333333,3797.457924816667,0,0,0,0,0,2160.8198484866666,175.22120237666667,895.3963802999999,1130.85720871,167.12190833333335,2643.7095627666667,11.160022576666666,440.0199125533333,242.40566820333333,36.39793322,2073.8197474233334,323.3618487333333,45.05181156666667,265.3998294466667,415.2349858,503.34634730666664,1580.9205256033333,1420.3169971333334,221.43912534333333,6.357918906666667,75.65929582,300.11318553666666,0,1320.32906671,0,0,0,2812.87791507,0,0,711.46548699,2.812871593333333,281.42852070333333,328.93486329999996,0,144.44674898666665,0,0,0,0,0,32975.20447,0,0,0,6721.989392,0,0,0,0,0,0,0,0,0,0,1900.71461,0,0,0,18059.99866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767.4834426,0,0,0,0,0,0,0,0,0,0,3255.3310953,0,0,0,0,0,0,0,0
Genovese,200.20344738249997,451.6935208675,2309.760095175,0,5075.689844975001,7380.816912849999,58.89297375,0,68.82705565,97395.4885325,0,1490.6611835125,561.1816369175,49.92040015,40.30430642,0,75.830077575,0,3786.4429452249997,199.15924228,8.635357795000001,586.9737638199999,20496.0088535,19.7976381,3.0615529575,106.00375029,7389.064173602499,10.1185365425,207.13236510000002,513.3039606925,46.329532025000006,14.3436867825,5527.676549524999,32872.59505975,348.76926674999993,3379.835519625,0,5705.8547347250005,0,1064.53356345,774.9524791250001,9.195266692500002,8144.3179337500005,92.54530922000001,34.61420274999999,109.1250521,138.1428948,3909.72516645,4260.198475724999,3688.2621871500005,327.30087252500005,66.68879294,185.42120558750003,109.0723213425,0,778.33918539,590.1987355425001,0,0,6278.24603355,96.43525101,0,1503.549519225,11.271593225,659.871278175,35.881615825,19.31336373,121.76474545,0,0,0,0,5604.728587,0,0,0,0,17108.44492,0,0,884.8258067,0,0,0,0,0,0,0,294.8205894,0,9996.519377,2103.019283,0,8441.165895,0,16807.03762,0,36648.83145,5531.784835,28280.17915,0,4237.02942,0,0,0,0,0,0,0,0,0,3085.892792,0,0,0,0,0,951.3328216,0,0,0,3109.68506,0,0,0,0,14715.18382,1446.218594,0,0,16222.46779,16167.69876,0,0,0,0
Greek Dwarf,652.8359218775001,2446.155438165,3473.817753075,385.0568891500001,25165.525151450005,3873.5940124,0,33.44485178,371.1416785,54643.2685125,30.089483350000002,1614.85493025,1999.8374012825,461.83045870499996,109.5781967975,0,0,0,10529.206471299998,539.70189192,0,131.127093,33027.6412374,2.542739235,32.564514779999996,39.43358256,11417.771636572501,10.741209505,0,21.1853637575,4.169498065000001,17.743068720000004,2678.4745677425,15143.7652079025,266.82352695,773.118107375,3248.2202000000007,5285.979221425,134.63362515,2173.05215175,711.490224325,0,2036.7459162250002,86.948966795,558.0276552625,856.42279611,780.3724791500001,1989.027291775,1151.9953159249999,4648.588408325,479.4584958025,96.3223807025,258.5000753025,115.98414467250001,4.5875778425,290.301648,1418.98485175,220.19793557500003,0,10177.7813929675,7.9405071525,166.50065620000004,513.391282925,9.2270338425,172.45625615,286.15433025000004,0,7.7602912375,0,0,0,0,634.7249417,598.5584498,0,0,0,5675.322848,0,0,0,0,0,0,0,0,0,0,25.83359008,0,80.05882596,0,0,0,0,0,0,0,0,0,0,2482.128855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.1388494,0,0,0,0,0,0,0,0,0,155.8653131,0,0,0,0,0,0,0,0
Lemon,43.417868666666664,180.05921761,3573.4387768666666,1028.7806578966668,292.23790306666666,2991.3905555,55.610480566666666,161.98112529999997,19.45612828666667,36883.973756666666,1134.5167941333334,113.07833712333334,1852.5920217833332,0,129.94168229666667,13891.816205666666,5018.018111333333,15749.088827733332,0,0,1.2770664566666667,514.7410954,0,189.77019045333333,109.98007889666667,87.44386203666667,1412.9223931600002,47.1248313,89.7009286,0,0,0,40806.683657333335,20620.918608333333,4651.482603066666,0,6.209920496666667,9033.087209333333,15.38399449,3820.096059233333,280.53789370000004,342.99822883333337,9450.991508666668,494.44838028666663,0,0,287.7850466,5923.303800666667,412.1902024166667,340.60285146666666,1901.3862943,7252.280418333334,0,0,0,388.4041604633333,0,282.2993839366667,26.21696353333333,49.39200399333333,212.95017323333332,0,663.2198207666667,2.79536139,0,0,149.10370865,443.0510853733333,0,158.822507,905.8152807,430.6213318,219.8972216,857.1815715,0,0,0,4251.27178,0,0,368.6326245,99.59918243,36.94245518,397.7769608,0,6210.222075,0,0,9.93123663,515.2133768,0,0,27.23162318,0,97.76217807,0,95.95738534,0,0,0,2735.1432629,2644.4882,356.7561924,0,0,618.1493682,0,260.8847127,17.03417969,0,516.0562581,0,81.17631043,100.1919637,188.0354623,847.8133477,0,0,262.4399339,872.277176,0,0,0,0,0,118.2483615,0,0,0,0,598.4229598,0,0,0,0,0
Lettuce,41.549491406,103.904117388,332.70199212,39.658460559999995,1641.4221488599999,220.851661478,142.636929212,250.65790893,0,10813.732167,257.81741438,99.41337501000001,86.66378275999999,522.229871196,58.693873982,0,0,0,63.760122442,90.86741841999999,13.985412166,121.029193256,992.03136766,13.058209883999998,2.857269974,32.290020610000006,2182.922722452,9.119769724,25.5412542,13.974379383999999,0,11.371388038000001,896.5567913980001,2278.25682624,489.06552037999995,691.1985180199999,78.206977336,1272.99900676,1.841376326,208.126162348,122.52861761,6.412765132,841.41501272,107.998942416,18.714211260000003,26.873035762,21.80023033,794.27827718,805.6234466100001,790.14097024,173.591722032,22.855483346,32.675720066,21.848091344,0.326796832,163.760300124,1.292046976,0,1.957653322,648.091473588,2.5133347400000003,3.511757352,127.692549924,12.840469932,82.24704237,24.1153885,32.596356134,74.93157424799999,349.50724305,1095.900897,1390.8696805,118.95713525,9420.32133,19676.269395000003,0,0,126.61921555,15079.242325,0,487.1757217,712.1168355,3279.0693566,658.649672,0,0,0,3438.8383715,126.6713417,497.51481392,0,10063.077755,92.17104335,167.3351108,1771.698418,3915.458865,3715.651206,0,6716.84694145,1044.0178235,6550.592169,227.9603388,5493.29735,0,1121.7361475,1196.230671,1578.1415255,0,695.759834,252.6923497,0,635.6975025,0,0,0,0,466.28221705,123.90239885,1357.685219,0,0,0,0,0,0,832.0184115,0,231.58462855,3352.30963105,0,138.954945,3247.7359645,3727.909232,0,0,0,0
Lime,0,0,0,864.0176745,0,0,0,0,0,23.978265163333333,1255.5836763,0,0,110740.67440666667,0,15.197024696666666,0,0,0,0,0,200.86186442,0,0,22.928187633333334,50.422642633333325,412.72494024,87.83831230000001,35.952747099999996,164.13801233333334,0,154.05124673333336,2313.052414566667,2421.826816,0,26.404339213333337,21.815110696666668,638.5559823333333,0,169.53356571666666,8.946321666666666,0,602.9566387666666,0,0,0,0,474.5139950333333,15.163286276666668,0,123.32613753,1058.5513887333334,0,0,0,0,0,113.81053343333335,0,0,0,0,674.8440069000001,224.97816286666665,0,0,0,0,0,0,0,361.0827291,882.8295091,0,0,0,0,0,2574.918704,0,0,745273.6166,0,0,0,0,0,0,0,564.9015506,0,704.4358545,0,13398.87792,2634.4755342,26715.97445,0,50814.55039,9277.101467,47516.78454,3588.15971,8207.370172,0,2526.500257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2511.642685,1030.898667,0,0,0,0,0,323.0209152,176.6361694,1382.39712,0,17738.68968,13307.73766,0,0,697.2465319,0
Mammolo,15.233420566000001,42.117099554,118.318279264,2.5255213000000003,539.102776004,633.5263498840001,1.310490116,46.371855076,3.2401189219999997,6565.84330778,354.72901984000003,66.955803312,58.942056795999996,0.192122272,35.256120175999996,0,0,0,191.750531714,27.864955754,11.086357322,18.319361108,797.204061092,2.7430203939999998,0.834222882,12.816330941999999,786.5154315240001,0,40.7539635,35.210232054,0,0,335.596776536,4151.82423714,5.50998266,312.535251842,3.1931873800000004,547.045939924,5.924280896,113.901058958,75.458657844,1.0971975999999999,564.881704158,195.734351448,32.91279425,26.229444496,2.1137603,446.16010951199996,275.599184908,396.901931494,26.503793690000002,8.382300406,17.280951376,12.202722046,4.047541432,83.550697278,0,0,0,401.683342804,0,0.5530537200000001,57.892641634,3.10592297,38.286512034,8.371771194,2.041172924,4.96273716,4167.395228,11972.64731,11930.26208,0,141431.1266,42541.791450000004,0,548.6117737,781.1248298,109338.9933,0,0,2271.080372,206.2780854,0,0,0,0,1931.784165,0,1616.262019,0,14812.30992,0,70.68921963,0,0,318.1552027,0,0,8552.964596,438.1650359,552.6871179,102951.5375,0,1856.801504,0,2708.788376,0,0,525.6548625,0,266.6414614,0,0,478.7011167,630.3723637,4352.730698,509.9474628,6072.732749,0,0,0,0,0,0,0,0,763.327901,3390.7818508,0,695.0461991,2202.565911,985.3777131,0,0,0,0
Dark Purple Opal,63.703071515,221.031157325,585.0655797750001,61.0338165,2407.622374,1546.3344243249999,7.0619362,53.81755765,2313.39986425,16257.9742595,17.561374702499997,1093.329642635,186.453901175,2037.4722563475,3.053773815,0,1.1344651725000001,0,771.7998067,222.59627126499998,4.256466945,155.3931793425,1408.026343,31.089671535,5.7970917024999995,171.283211045,4101.2841960625,209.6244254025,64.1083542425,364.33631265,58.292730577499995,317.32595125,1334.1516636075,254.560638775,445.13240782750006,882.9722629,114.0012922475,1347.385392275,15.313300949999999,617.313412425,129.5061922525,36.0992762175,1199.14457115,11.882628117500001,63.293039705,98.03444133,135.6609941,327.77209001,1118.8604349275001,499.363842025,204.95941050250002,39.667780135,37.1132966075,27.08280334,0,3.3698112775,38.3608969875,0,0.6508041975000001,703.571588855,14.36506257,0,382.18745356750003,104.1127383125,153.852849755,0,6.2649966975,15.6624812525,0,0,0,0,2555.305949,0,0,0,0,0,0,0,0,512.713443,0,0,0,0,0,0,0,0,0,0,0,708.6811391,0,1168.186033,475.7374695,2326.377945,0,2064.718132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.0918162,0,0,0,0
